customer_id,name,segment,region,last_purchase,orders_count,lifetime_value,risk_score
1,Customer 00001,Consumer,North,2026-09-16,6,49773.11,43.7
2,Customer 00002,SMB,East,2026-03-18,5,5295.2,71.5
3,Customer 00003,Consumer,South,2026-06-22,5,11168.4,75.5
4,Customer 00004,SMB,West,2026-05-22,5,15849.03,43.5
5,Customer 00005,Consumer,South,2026-06-08,6,16160.01,70.5
6,Customer 00006,SMB,East,2026-04-22,4,35098.66,62.9
7,Customer 00007,Consumer,East,2026-09-16,7,18910.93,49.7
8,Customer 00008,SMB,East,2026-07-30,7,4093.8,59.1
9,Customer 00009,SMB,South,2026-09-05,7,20937.42,23.2
10,Customer 00010,Consumer,North,2026-09-16,8,31828.690000000002,68.2
11,Customer 00011,SMB,East,2026-06-13,7,17007.59,65.2
12,Customer 00012,Consumer,South,2026-07-25,5,10576.16,69.0
13,Customer 00013,Consumer,West,2026-07-16,7,11439.78,32.8
14,Customer 00014,Consumer,North,2026-08-01,8,3018.5,47.6
15,Customer 00015,Consumer,Central,2026-06-22,4,27780.21,58.0
16,Customer 00016,Consumer,South,2026-09-01,9,49706.72,51.0
17,Customer 00017,Consumer,East,2026-07-26,6,5092.0,74.7
18,Customer 00018,SMB,East,2026-06-21,5,12321.96,71.6
19,Customer 00019,SMB,Central,2026-06-07,6,18745.3,52.6
20,Customer 00020,Enterprise,Central,2026-07-12,4,13468.72,82.5
21,Customer 00021,Consumer,North,2026-09-10,6,430077.66,56.3
22,Customer 00022,Enterprise,East,2026-04-24,3,4344.8,66.8
23,Customer 00023,SMB,East,2026-09-19,7,31759.83,43.9
24,Customer 00024,SMB,West,2026-07-24,3,6316.5,84.6
25,Customer 00025,Consumer,West,2026-05-07,8,2278.58,29.1
26,Customer 00026,Consumer,East,2026-07-11,5,8020.17,89.8
27,Customer 00027,SMB,North,2026-08-12,6,40132.64,72.0
28,Customer 00028,Consumer,East,2026-08-28,3,10089.65,88.0
29,Customer 00029,SMB,East,2026-06-20,5,16586.78,55.2
30,Customer 00030,Consumer,Central,2026-09-05,8,105033.97,61.5
31,Customer 00031,Consumer,North,2026-05-10,8,10950.95,32.6
32,Customer 00032,Enterprise,East,2026-07-06,5,7903.2,48.8
33,Customer 00033,Consumer,East,2026-09-27,7,23613.89,39.2
34,Customer 00034,SMB,South,2026-06-21,3,14261.13,88.6
35,Customer 00035,Consumer,South,2026-04-21,4,4714.03,70.4
36,Customer 00036,Consumer,South,2026-07-15,2,22395.69,70.6
37,Customer 00037,Consumer,North,2026-05-16,8,29465.54,47.1
38,Customer 00038,SMB,Central,2026-07-06,8,7040.28,49.1
39,Customer 00039,Consumer,West,2026-03-23,9,24354.22,38.4
40,Customer 00040,Enterprise,South,2026-09-21,7,19489.82,62.2
41,Customer 00041,Consumer,Central,2026-05-12,9,25339.59,40.0
42,Customer 00042,Consumer,Central,2026-09-01,8,28885.57,43.0
43,Customer 00043,Consumer,Central,2026-05-13,6,7734.84,60.1
44,Customer 00044,SMB,West,2026-08-25,10,4318.8,36.0
45,Customer 00045,Consumer,South,2026-03-19,6,12014.69,24.8
46,Customer 00046,Enterprise,North,2026-08-10,6,3338.21,45.7
47,Customer 00047,Consumer,South,2026-06-14,5,20986.88,69.8
48,Customer 00048,SMB,North,2026-09-08,11,22364.989999999998,26.0
49,Customer 00049,Consumer,South,2026-06-01,5,10733.1,67.6
50,Customer 00050,Consumer,West,2026-07-24,4,8135.5,57.1
51,Customer 00051,Consumer,West,2026-07-02,9,9643.07,27.6
52,Customer 00052,Consumer,North,2026-05-21,5,15851.3,65.9
53,Customer 00053,SMB,West,2026-09-07,8,28009.079999999998,63.0
54,Customer 00054,Enterprise,Central,2026-08-12,14,44253.26,18.3
55,Customer 00055,Consumer,North,2026-03-15,10,8940.72,25.2
56,Customer 00056,Consumer,North,2026-03-05,4,6966.84,69.1
57,Customer 00057,SMB,South,2026-05-31,7,6836.21,37.7
58,Customer 00058,SMB,East,2026-09-06,8,91457.2,55.7
59,Customer 00059,Enterprise,North,2026-08-14,5,10179.89,81.7
60,Customer 00060,Consumer,East,2026-09-12,5,19765.68,71.5
61,Customer 00061,SMB,West,2026-08-14,4,12860.18,61.8
62,Customer 00062,Consumer,Central,2026-08-15,4,11651.25,79.6
63,Customer 00063,SMB,North,2026-05-27,8,7643.97,48.3
64,Customer 00064,SMB,East,2026-08-05,8,20024.43,54.1
65,Customer 00065,SMB,Central,2026-09-05,8,19255.39,50.5
66,Customer 00066,Consumer,North,2026-09-09,7,89044.31999999999,35.2
67,Customer 00067,Consumer,North,2026-03-31,3,13338.26,67.6
68,Customer 00068,Consumer,South,2026-05-01,7,25536.08,56.5
69,Customer 00069,Consumer,South,2026-08-01,5,4099.33,56.2
70,Customer 00070,Consumer,East,2026-04-16,5,10866.3,68.2
