date,revenue,expense,profit
2025-01-01,2266809.87,1423402.67,843407.2000000002
2025-01-02,1432777.67,856791.63,575986.0399999999
2025-01-03,1701688.43,1122405.66,579282.77
2025-01-04,1910639.93,1041600.47,869039.46
2025-01-05,1485529.65,1336084.72,149444.9299999999
2025-01-06,1734714.72,1309559.63,425155.0900000001
2025-01-07,1939710.42,934375.91,1005334.51
2025-01-08,1810430.82,874871.29,935559.53
2025-01-09,2158404.49,1305557.58,852846.9100000001
2025-01-10,2292572.33,1028286.39,1264285.94
2025-01-11,1725166.47,987328.09,737838.38
2025-01-12,1876345.88,1113936.09,762409.7899999998
2025-01-13,1500876.43,1130727.04,370149.3899999999
2025-01-14,1838678.46,1383593.31,455085.1499999999
2025-01-15,2135533.47,1220118.81,915414.66
2025-01-16,2061529.51,1218027.04,843502.47
2025-01-17,1564451.01,1069150.81,495300.2
2025-01-18,2067124.86,1242278.63,824846.2300000002
2025-01-19,2012856.63,1186510.41,826346.22
2025-01-20,1851936.1,1188062.66,663873.4400000002
2025-01-21,1470627.13,1229353.79,241273.33999999985
2025-01-22,1856871.42,1090959.9,765911.52
2025-01-23,1741141.35,1214833.13,526308.2200000002
2025-01-24,2110459.97,1101419.35,1009040.62
2025-01-25,1859596.39,1060288.03,799308.3599999999
2025-01-26,2100711.6,1324881.02,775830.5800000001
2025-01-27,2283647.45,1437025.04,846622.4100000001
2025-01-28,1580558.31,1035296.9,545261.41
2025-01-29,2247241.03,1127395.82,1119845.2099999995
2025-01-30,2120958.03,1334452.09,786505.9399999997
2025-01-31,2106867.88,1426636.02,680231.8599999999
2025-02-01,1746067.86,936951.04,809116.8200000001
2025-02-02,2145418.73,1182992.72,962426.01
2025-02-03,2308266.35,1385999.91,922266.4400000002
2025-02-04,1675127.87,1175342.15,499785.7200000002
2025-02-05,1693432.36,1291021.71,402410.65000000014
2025-02-06,1883147.54,1141984.43,741163.1100000001
2025-02-07,2328226.01,1222756.01,1105469.9999999998
2025-02-08,1932872.13,1369844.73,563027.3999999999
2025-02-09,2036157.95,1134366.92,901791.03
2025-02-10,1915745.65,1107564.52,808181.1299999999
2025-02-11,1712896.93,805473.34,907423.59
2025-02-12,1818619.32,999036.34,819582.9800000001
2025-02-13,1856679.9,1190466.1,666213.7999999998
2025-02-14,2021896.67,1239751.1,782145.5699999998
2025-02-15,1899298.36,1364719.91,534578.4500000002
2025-02-16,2127023.26,916961.33,1210061.9299999997
2025-02-17,2097820.93,1343473.7,754347.2300000002
2025-02-18,1586034.67,1335548.62,250486.0499999998
2025-02-19,1898550.84,1424738.79,473812.0500000001
2025-02-20,1944902.6,1377344.19,567558.4100000001
