date,campaign,spend,leads,conversions,conversion_rate
2025-01-01,Partner,43779.57,484,57,11.78
2025-01-02,Search,71061.49,1688,293,17.36
2025-01-03,Partner,42150.76,1165,136,11.67
2025-01-04,Video,32331.73,630,55,8.73
2025-01-05,Partner,70197.26,1681,163,9.7
2025-01-06,Social,66864.5,579,173,29.88
2025-01-07,Partner,26096.51,777,320,41.18
2025-01-08,Partner,55438.75,288,206,71.53
2025-01-09,Social,79521.52,345,44,12.75
2025-01-10,Video,31075.43,349,47,13.47
2025-01-11,Email,77430.74,833,153,18.37
2025-01-12,Partner,49622.98,1493,304,20.36
2025-01-13,Social,15858.39,970,125,12.89
2025-01-14,Social,73332.18,1613,82,5.08
2025-01-15,Social,27065.63,360,249,69.17
2025-01-16,Email,35898.4,1491,121,8.12
2025-01-17,Partner,25775.33,408,219,53.68
2025-01-18,Social,87151.76,1524,74,4.86
2025-01-19,Social,45172.02,1181,94,7.96
2025-01-20,Email,62782.73,495,181,36.57
2025-01-21,Video,15839.69,1204,96,7.97
2025-01-22,Search,77445.81,1778,84,4.72
2025-01-23,Video,84928.97,1685,72,4.27
2025-01-24,Social,64066.74,1777,306,17.22
2025-01-25,Video,63525.7,1360,140,10.29
2025-01-26,Video,42084.67,390,306,78.46
2025-01-27,Video,77415.48,521,79,15.16
2025-01-28,Search,17859.6,119,94,78.99
2025-01-29,Social,69552.63,1497,286,19.1
2025-01-30,Social,78509.69,311,45,14.47
2025-01-31,Partner,61510.85,817,292,35.74
2025-02-01,Partner,17777.17,119,341,286.55
2025-02-02,Video,83419.56,602,322,53.49
2025-02-03,Partner,88768.01,953,278,29.17
2025-02-04,Video,10580.14,383,189,49.35
2025-02-05,Video,59113.78,1411,297,21.05
2025-02-06,Email,55460.91,675,84,12.44
2025-02-07,Search,36642.06,216,215,99.54
2025-02-08,Search,58204.13,335,201,60.0
2025-02-09,Partner,39363.15,1447,107,7.39
2025-02-10,Social,42221.78,1227,63,5.13
2025-02-11,Partner,12612.89,1233,207,16.79
2025-02-12,Email,34741.42,521,165,31.67
2025-02-13,Email,83115.3,860,110,12.79
2025-02-14,Email,12852.32,967,242,25.03
2025-02-15,Email,13977.51,564,197,34.93
2025-02-16,Video,66385.24,273,271,99.27
2025-02-17,Social,80546.03,1466,205,13.98
2025-02-18,Email,48341.9,1024,287,28.03
2025-02-19,Search,31268.66,432,63,14.58
2025-02-20,Search,40423.87,1655,234,14.14
2025-02-21,Video,39349.35,587,234,39.86
2025-02-22,Partner,89750.14,1619,309,19.09
2025-02-23,Search,82264.54,1109,122,11.0
2025-02-24,Partner,21729.59,160,217,135.62
2025-02-25,Social,14669.08,1439,43,2.99
2025-02-26,Social,26943.85,1400,169,12.07
2025-02-27,Email,42937.64,1664,100,6.01
2025-02-28,Social,81696.08,1594,81,5.08
2025-03-01,Search,15239.27,428,280,65.42
2025-03-02,Search,11605.31,538,52,9.67
2025-03-03,Search,23009.46,1487,222,14.93
2025-03-04,Search,23264.95,538,342,63.57
2025-03-05,Search,24790.51,1005,293,29.15
2025-03-06,Search,74332.36,1431,344,24.04
2025-03-07,Video,61107.91,1240,100,8.06
2025-03-08,Email,80578.88,786,37,4.71
2025-03-09,Email,36896.5,999,344,34.43
2025-03-10,Social,36622.73,1475,170,11.53
2025-03-11,Social,10214.91,243,170,69.96
2025-03-12,Video,50480.69,1554,152,9.78
2025-03-13,Partner,56921.77,466,329,70.6
2025-03-14,Email,31687.8,887,272,30.67
2025-03-15,Video,56920.49,671,81,12.07
2025-03-16,Social,74633.28,179,292,163.13
2025-03-17,Social,73731.25,976,115,11.78
2025-03-18,Search,23096.61,1376,307,22.31
