sale_id,date,order_id,customer_id,product,region,channel,units,revenue,cost,expense,profit
1,2025-02-26 00:00:00,19325,5810,Mechanical Keyboard,West,B2B,3,10780.27,7548.34,636.63,2595.3
2,2026-08-04 00:00:00,4217,739,External HDD,South,Marketplace,4,24596.35,18152.51,2790.67,3653.18
3,2025-11-15 00:00:00,5036,8127,Power Bank,South,Website,2,3879.21,2781.1,204.4,893.71
4,2026-08-26 00:00:00,5737,9715,Ultrabook,North,Marketplace,1,95244.2,70460.37,11300.01,13483.83
5,2025-09-10 00:00:00,15441,3703,Ultrabook,Central,B2B,1,84638.85,68130.02,9943.36,6565.47
6,2026-05-22 00:00:00,7422,7161,Business Router,East,B2B,2,32453.72,24466.87,4156.43,3830.41
7,2025-07-21 00:00:00,11700,3226,Mechanical Keyboard,East,Website,4,14303.63,9264.46,1159.35,3879.82
8,2025-09-27 00:00:00,7366,8298,Fast Charger,Central,Retail,1,1305.09,888.73,122.9,293.46
9,2025-07-30 00:00:00,22053,7232,Webcam HD,South,B2B,1,2603.0,1907.82,132.4,562.79
10,2025-11-29 00:00:00,20178,4900,Mechanical Keyboard,South,Retail,2,6817.83,5039.8,695.08,1082.94
11,2025-05-16 00:00:00,20033,8115,Tablet Pro,South,Website,2,73764.39,57633.14,9162.1,6969.15
12,2025-11-03 00:00:00,12101,9437,Surge Protector,Central,B2B,1,1121.12,821.6,69.19,230.32
13,2026-05-26 00:00:00,252,3522,SSD 2TB,North,Retail,1,14310.29,10472.6,1241.32,2596.37
14,2025-04-05 00:00:00,3301,8458,External HDD,East,Retail,2,10038.71,6185.05,745.73,3107.93
15,2026-04-28 00:00:00,2913,1311,SSD 1TB,North,Retail,2,16033.31,11139.09,872.92,4021.3
16,2026-06-04 00:00:00,13937,3419,NAS 2-Bay,North,Retail,1,30434.04,19070.87,1534.23,9828.94
17,2025-01-22 00:00:00,5123,3650,Tablet 10,North,Website,2,39074.86,27301.04,2321.28,9452.55
18,2026-02-15 00:00:00,17737,2485,Wireless Headset,South,Retail,4,13191.93,8809.67,1049.14,3333.11
19,2025-10-22 00:00:00,8964,9477,Mesh Router,South,Website,1,8646.87,6609.92,896.16,1140.79
20,2026-01-23 00:00:00,4865,421,Gaming Laptop,South,B2B,1,96469.94,60321.99,8261.66,27886.28
21,2025-06-29 00:00:00,9800,7081,Tablet 10,Central,Retail,2,44054.9,32772.39,2603.71,8678.8
22,2025-05-14 00:00:00,344,8714,Business Laptop 14,East,Retail,3,172260.48,140698.53,18513.08,13048.88
23,2025-06-24 00:00:00,7913,8644,Bluetooth Speaker,South,B2B,1,4469.49,3077.84,572.47,819.18
24,2025-04-04 00:00:00,14924,2255,UPS 1KVA,West,Marketplace,4,30186.07,20123.85,3278.58,6783.63
25,2025-09-04 00:00:00,15032,1401,NAS 2-Bay,West,Retail,2,54994.79,42631.91,6489.43,5873.45
26,2026-06-15 00:00:00,2975,2943,Fitness Band,North,Marketplace,1,3312.51,2691.28,271.33,349.9
27,2026-04-19 00:00:00,13942,2354,Creator Laptop,Central,B2B,2,247430.12,201871.31,28963.17,16595.64
28,2025-04-20 00:00:00,1762,3100,WiFi Router,South,Retail,2,8192.9,6414.34,936.02,842.55
29,2025-12-06 00:00:00,3997,6181,Tablet Pro,North,Marketplace,1,36102.36,24978.04,2682.26,8442.06
30,2025-02-14 00:00:00,12673,8887,Ultrabook,West,B2B,2,160551.64,106590.74,14254.76,39706.14
31,2025-02-06 00:00:00,11660,481,Gaming Laptop,West,Marketplace,1,98024.93,71590.43,9640.24,16794.26
32,2026-01-16 00:00:00,5632,7691,Webcam Pro,East,Retail,4,30794.26,23064.05,3413.16,4317.06
33,2025-07-03 00:00:00,3444,4388,Mechanical Keyboard,East,Retail,1,3644.8,2204.11,466.99,973.69
34,2026-03-05 00:00:00,23835,7537,Smartphone A,South,Website,4,69792.8,47299.58,6839.13,15654.1
35,2025-04-05 00:00:00,20663,8567,Security Camera,West,Retail,3,14462.62,9951.07,812.38,3699.17
36,2025-03-14 00:00:00,15991,1905,Pro Mouse,West,Retail,1,1007.39,707.15,106.03,194.22
37,2026-03-11 00:00:00,21162,4506,Business Router,Central,B2B,1,15850.45,9872.82,1002.18,4975.46
38,2025-05-06 00:00:00,13637,2978,Mesh Router,South,B2B,4,35546.44,29124.32,4501.84,1920.28
39,2025-02-05 00:00:00,16509,6318,Smart Monitor 24,South,Website,2,20208.12,16699.63,2569.69,938.8
40,2026-04-25 00:00:00,12803,5971,Fitness Band,South,Website,1,3258.14,2624.55,386.07,247.52
41,2026-03-05 00:00:00,18349,8808,Studio Headphones,South,Retail,1,6481.99,5192.33,364.95,924.71
42,2026-07-20 00:00:00,10557,2420,External HDD,South,Retail,1,5863.93,3698.87,756.54,1408.52
43,2025-12-31 00:00:00,12645,8332,SSD 1TB,East,Marketplace,2,15625.45,12397.56,1240.94,1986.96
44,2025-10-17 00:00:00,16066,8694,Business Laptop 14,North,B2B,2,123576.04,84686.24,13383.4,25506.4
45,2026-02-12 00:00:00,19752,8300,Pro Mouse,North,Website,1,1105.39,705.35,92.43,307.6
46,2026-04-27 00:00:00,9350,49,UPS 2KVA,Central,Website,3,46461.5,35335.04,4227.46,6899.0
47,2026-01-18 00:00:00,15081,7108,Ultrabook,East,Marketplace,1,84532.38,66777.65,5584.52,12170.21
48,2025-07-14 00:00:00,9714,758,Security Camera,West,Retail,1,5319.47,3510.48,649.03,1159.96
49,2026-06-25 00:00:00,941,4192,Fast Charger,South,Website,2,2782.93,1795.3,293.29,694.34
50,2026-03-04 00:00:00,4992,3249,NAS 2-Bay,South,Retail,3,79317.5,49880.74,7614.18,21822.57
51,2026-06-18 00:00:00,16582,1950,External HDD,East,B2B,3,17482.38,13632.76,1143.35,2706.26
52,2025-12-05 00:00:00,11534,8814,Bluetooth Speaker,North,Retail,1,4728.37,3419.04,391.61,917.73
53,2025-10-01 00:00:00,7373,7421,Business Laptop 14,Central,B2B,1,57823.73,45113.92,4728.49,7981.32
54,2026-05-28 00:00:00,12331,8318,Gaming Laptop,North,Marketplace,1,107893.3,73938.54,6103.46,27851.3
55,2026-01-07 00:00:00,16307,9756,Mini PC,East,Marketplace,2,79914.85,56641.98,7872.59,15400.28
56,2026-04-17 00:00:00,22877,8258,Nexora Keyboard,Central,Retail,4,5852.66,3560.21,563.31,1729.13
57,2026-06-26 00:00:00,6616,2899,Tablet Pro,West,Retail,1,40223.13,29695.12,3841.37,6686.63
